# energy mu dmude
2.511616275999999925e+04 1.385388915449440095e+00 -7.968334769122024233e-06
2.512532494999999835e+04 1.385585280159439936e+00 -9.468894364912251496e-06
2.513477178999999887e+04 1.385753236442260006e+00 -1.200804176133659250e-05
2.514478210000000036e+04 1.385905150045809942e+00 -1.604481064358593659e-05
2.515480040999999983e+04 1.385982583726419914e+00 -9.814113489176364008e-06
2.516510536000000138e+04 1.386294361119889906e+00 -8.645768848135108800e-08
2.517513993000000119e+04 1.386616620978049941e+00 -8.336078912448023951e-06
2.518546159999999873e+04 1.386721386276859924e+00 -1.634508909077090038e-05
2.519523316999999952e+04 1.386839251804490081e+00 -1.260948468561151159e-05
2.520529186000000118e+04 1.387032650608629902e+00 -1.595469423146080947e-06
2.521535860999999932e+04 1.387429084256410095e+00 -2.608978731932692498e-06
2.522543343000000095e+04 1.387597728117009988e+00 1.555967890435539681e-06
2.523523614000000089e+04 1.388089066402200089e+00 -4.186771043393574256e-06
2.524504649000000063e+04 1.388109735173409964e+00 -1.199018441261072323e-05
2.525542575999999826e+04 1.388421423437339985e+00 -4.782967590293765161e-07
2.526525187000000005e+04 1.388729806594799943e+00 1.518432593087617837e-06
2.527564781999999832e+04 1.389091906773429974e+00 3.845291332234075601e-06
2.528548973000000115e+04 1.389459009487379992e+00 5.379592961847510150e-06
2.529562084999999934e+04 1.389849438773999912e+00 7.161722415585434519e-06
2.530547837000000072e+04 1.390261156447200053e+00 1.223769195920283380e-05
2.531590755999999965e+04 1.390790805840780076e+00 9.175421960716629999e-06
2.532549873999999909e+04 1.391114398947330022e+00 1.353248675113314038e-06
2.533537963999999920e+04 1.391432447820809992e+00 1.533804954640301943e-05
2.534555092000000150e+04 1.392121712868320094e+00 2.325206571149358254e-05
2.535544752000000153e+04 1.392636820755619897e+00 2.132995557424383274e-05
2.536563496999999916e+04 1.393279348840700038e+00 3.154677147715699825e-05
2.537554732000000149e+04 1.394049148136389915e+00 5.857381847990017796e-05
2.538575098000000071e+04 1.395364702888119979e+00 6.527726343280716270e-05
2.539539533999999912e+04 1.396271146995980095e+00 4.582855313512554829e-05
2.540533103000000119e+04 1.397086092680569935e+00 4.723973364735698286e-05
2.541555874000000040e+04 1.398078986639859966e+00 7.687216013249534958e-05
2.542579470999999830e+04 1.399670244030289945e+00 1.108407753919972080e-04
2.543575429000000076e+04 1.401477071417460030e+00 1.501477079886360578e-04
2.544600659000000087e+04 1.404052896964719910e+00 2.050735128821204066e-04
2.545598205999999846e+04 1.407236201874350057e+00 2.950701487168017100e-04
2.546568001999999979e+04 1.411842275946179948e+00 4.476503556926663590e-04
2.547624211999999898e+04 1.419078127209459916e+00 7.331456182936280357e-04
2.548595558000000165e+04 1.430846915920799933e+00 9.972300984145150270e-04
2.548709882999999900e+04 1.432797526618210027e+00 1.286010403415118342e-03
2.548881390000000101e+04 1.435478996626990078e+00 1.460735103690621308e-03
2.548995740999999907e+04 1.438047278358610015e+00 1.920551520198418355e-03
2.549138693000000058e+04 1.441666467346419900e+00 2.067873166849227597e-03
2.549310257999999885e+04 1.446183218118620051e+00 2.156032180559367805e-03
2.549481844999999885e+04 1.450916998974630001e+00 2.525877543045230468e-03
2.549596250000000146e+04 1.455200021742719896e+00 3.137605927866782447e-03
