# energy mu dmude
1.172855102499999884e+04 -1.233799463307009958e+00 5.615648628061395691e-05
1.173355102499999884e+04 -1.234594719388190098e+00 2.992937398821485519e-05
1.173855102499999884e+04 -1.235676506297630040e+00 -2.773504795676917738e-06
1.174355102499999884e+04 -1.236829040863760110e+00 -3.130571851509712366e-05
1.174855102499999884e+04 -1.238222541801720089e+00 -3.788271129146398881e-05
1.175355102499999884e+04 -1.239446929920259954e+00 -3.334389930568335708e-06
1.175855102499999884e+04 -1.240462990939400045e+00 -1.116954468303544658e-05
1.176355102499999884e+04 -1.241772978012019912e+00 -3.143667304464924409e-05
1.176855102499999884e+04 -1.243010457119859913e+00 -1.884307456939780863e-05
1.177355102499999884e+04 -1.244182859308500033e+00 -1.156494452568898979e-05
1.177855102499999884e+04 -1.245340824949269898e+00 -1.297028712849719991e-05
1.178355102499999884e+04 -1.246528580485829929e+00 -1.232537778435353849e-05
1.178855102499999884e+04 -1.247679500501200023e+00 9.550718272058035408e-06
1.179355102499999884e+04 -1.248628259999909895e+00 4.812373343505380774e-06
1.179855102499999884e+04 -1.249830946366139894e+00 -1.970852874386475376e-05
1.180355102499999884e+04 -1.251047596370920001e+00 -1.166873292190678357e-05
1.180855102499999884e+04 -1.252162448082299928e+00 -1.776017035683564465e-07
1.181355102499999884e+04 -1.253253557642179938e+00 6.355086052067321494e-06
1.181855102499999884e+04 -1.254297039832870109e+00 1.854596136157859031e-05
1.182355102499999884e+04 -1.255254964253619931e+00 1.165921684051068569e-05
1.182855102499999884e+04 -1.256373684030120064e+00 1.896581875471987447e-05
1.183355102499999884e+04 -1.257251783929020039e+00 5.548233341093926016e-05
1.183855102499999884e+04 -1.257971561302980046e+00 4.017772568710714501e-05
1.184355102499999884e+04 -1.259016863823289922e+00 4.144187672366568992e-05
1.184855102499999884e+04 -1.259722830365179957e+00 7.707848336603989852e-05
1.185355102499999884e+04 -1.260378803465469932e+00 9.348005183341727105e-05
1.185855102499999884e+04 -1.260905583105450090e+00 1.274073949376187227e-04
1.186355102499999884e+04 -1.261190900465529952e+00 1.488392520881256045e-04
1.186855102499999884e+04 -1.261483537371379970e+00 1.932184427885465705e-04
1.187355102499999884e+04 -1.261284012705119917e+00 2.691322130363517405e-04
1.187855102499999884e+04 -1.260747292752200099e+00 3.595208482705350319e-04
1.188355102499999884e+04 -1.259560273533349983e+00 4.625505913805574745e-04
1.188679999999999927e+04 -1.258396881249820076e+00 5.613150668911620449e-04
1.188779999999999927e+04 -1.257891132480130070e+00 6.663690077675617565e-04
1.188879999999999927e+04 -1.257381671061009953e+00 6.765719984280294322e-04
1.188979999999999927e+04 -1.256853628785790100e+00 7.504892170276927094e-04
1.189079999999999927e+04 -1.256182658454580103e+00 9.138484107955192198e-04
1.189179999999999927e+04 -1.255297676806300000e+00 9.862191232052463369e-04
1.189279999999999927e+04 -1.254468576674619973e+00 1.105405511231728234e-03
1.189379999999999927e+04 -1.253323173107999899e+00 1.316589012801375148e-03
1.189400000000000000e+04 -1.253007013246010048e+00 1.634637888393812924e-03
1.189419999999999891e+04 -1.252696998121020089e+00 1.440728912517784703e-03
1.189439999999999964e+04 -1.252465576371019962e+00 1.753556026258816817e-03
1.189459999999999854e+04 -1.252018855975540079e+00 1.086555487985725295e-03
1.189479999999999927e+04 -1.252078913080779898e+00 8.811772697858746535e-04
1.189500000000000000e+04 -1.251721942849649993e+00 1.333322214464086747e-03
1.189519999999999891e+04 -1.251584412871650009e+00 9.223985903676339571e-04
1.189539999999999964e+04 -1.251407016030150032e+00 1.394109961010728390e-03
1.189559999999999854e+04 -1.251063348451910029e+00 7.756905936676916071e-04
1.189579999999999927e+04 -1.251156200521629902e+00 7.658174760104169724e-04
1.189600000000000000e+04 -1.250816847490179962e+00 1.099492996132813045e-03
1.189619999999999891e+04 -1.250763883547699962e+00 1.914135114842623227e-03
1.189639999999999964e+04 -1.250068532374470021e+00 1.721094829341134015e-03
1.189659999999999854e+04 -1.250099926926780070e+00 5.685272692285103487e-04
1.189679999999999927e+04 -1.249908247120709914e+00 1.232353860133613256e-03
1.189700000000000000e+04 -1.249649549830970097e+00 1.303105967864504836e-03
1.189719999999999891e+04 -1.249426951394130070e+00 6.497172363986475786e-04
1.189739999999999964e+04 -1.249453784607809981e+00 5.865281262888407190e-04
1.189759999999999854e+04 -1.249258799776090001e+00 1.739770769774877596e-03
1.189779999999999927e+04 -1.248781666611560093e+00 1.714600031325262414e-03
1.189800000000000000e+04 -1.248597681378200042e+00 1.704573043364461570e-03
1.189819999999999891e+04 -1.248124930001700106e+00 1.045570469864481747e-03
1.189839999999999964e+04 -1.248228928517530090e+00 1.060908580135047369e-03
1.189859999999999854e+04 -1.247749474395579927e+00 2.002816879880554846e-03
1.189879999999999927e+04 -1.247441859521019936e+00 1.808432164106111954e-03
1.189900000000000000e+04 -1.247047351409120042e+00 1.676514331727418580e-03
