# energy mu dmude
5.796973677999999381e+03 -1.089339585595040072e+00 2.704730059345038348e-04
5.801973677999999381e+03 -1.091548812394030010e+00 9.180008936312591668e-05
5.806973677999999381e+03 -1.094783474749219998e+00 -7.406608869116898422e-05
5.811973677999999381e+03 -1.097944636960759945e+00 -1.092467808614091065e-04
5.816973677999999381e+03 -1.101381207547680097e+00 -8.736069292640587388e-05
5.821973677999999381e+03 -1.104416761619019915e+00 1.141207147188411428e-06
5.826973677999999381e+03 -1.107345404105430031e+00 1.370365966747292316e-05
5.831973677999999381e+03 -1.110308860033780043e+00 -8.200317071627814740e-06
5.836973677999999381e+03 -1.113363213327410062e+00 -3.623438841371107156e-05
5.841973677999999381e+03 -1.116487561763090053e+00 -3.636701682947184315e-05
5.846973677999999381e+03 -1.119542676234720036e+00 -3.485174730963915408e-05
5.851973677999999381e+03 -1.122658328269890093e+00 -5.899649113529748788e-06
5.856973677999999381e+03 -1.125547281515260067e+00 1.365119452247153105e-06
5.861973677999999381e+03 -1.128621239755210004e+00 -3.475707566126939055e-05
5.866973677999999381e+03 -1.131717504684679909e+00 -1.060756933671896964e-05
5.871973677999999381e+03 -1.134652864624869917e+00 7.078582741270993207e-06
5.876973677999999381e+03 -1.137647625590890055e+00 1.028008943696517991e-05
5.881973677999999381e+03 -1.140564611516359905e+00 1.761045367035052602e-05
5.886973677999999381e+03 -1.143517302221989995e+00 2.806098000747994108e-05
5.891973677999999381e+03 -1.146374310723389911e+00 1.337767198233550032e-04
5.896973677999999381e+03 -1.148720280049319920e+00 1.231969221596592931e-04
5.901973677999999381e+03 -1.151638007885859905e+00 -6.634480970602668821e-05
5.906973677999999381e+03 -1.155071790826569966e+00 -4.582269897375867008e-05
5.911973677999999381e+03 -1.157871738629979941e+00 8.333424071092177476e-05
5.916973677999999381e+03 -1.160564266987599957e+00 1.154876108687872904e-04
5.921973677999999381e+03 -1.163179680897209911e+00 9.200819031672630393e-05
5.926973677999999381e+03 -1.166006961813500054e+00 6.512148663504386842e-05
5.931973677999999381e+03 -1.168776683283949902e+00 6.761228383346518361e-05
5.936973677999999381e+03 -1.171589669073370032e+00 6.369352539983491406e-05
5.941973677999999381e+03 -1.174381880993470073e+00 9.340981938256512080e-05
5.946973677999999381e+03 -1.177024319701480026e+00 1.036972542985017373e-04
5.951973677999999381e+03 -1.179757490208100057e+00 1.510534218485350588e-04
5.956973677999999381e+03 -1.182128143471830040e+00 2.378169881597072598e-04
5.958189999999999600e+03 -1.182620648723700096e+00 6.378759861883027743e-04
5.959189999999999600e+03 -1.182640083431409916e+00 8.042879069361306803e-04
5.960189999999999600e+03 -1.182891607765300002e+00 2.559503158765575638e-04
5.961189999999999600e+03 -1.183540443809780074e+00 -1.037070324687969398e-04
5.962189999999999600e+03 -1.184204795605289906e+00 -2.991942753507790924e-04
5.963189999999999600e+03 -1.185078018841160041e+00 -5.844897894686606858e-04
5.964189999999999600e+03 -1.186069842947319986e+00 -4.200410967093253477e-04
5.965189999999999600e+03 -1.186754306140580084e+00 -1.451096028454200502e-04
5.965389999999999418e+03 -1.186886269654620074e+00 8.115876056001654001e-04
5.965589999999999236e+03 -1.186806822178289922e+00 5.647825238565483104e-04
5.965789999999999964e+03 -1.186995444017749923e+00 2.778922256027326911e-04
5.965989999999999782e+03 -1.186981857113510008e+00 9.449082725402231913e-04
5.966189999999999600e+03 -1.187017354017370074e+00 -7.511691255638319189e-05
5.966389999999999418e+03 -1.187237931330759944e+00 -4.194765113355317576e-04
5.966589999999999236e+03 -1.187352481867030018e+00 -1.189222191463655483e-04
5.966789999999999964e+03 -1.187504061804949940e+00 7.389049533368214576e-04
5.966989999999999782e+03 -1.187421683450009979e+00 8.311766603723586694e-04
5.967189999999999600e+03 -1.187552080840279967e+00 3.864650123509472037e-04
5.967389999999999418e+03 -1.187571793646079898e+00 -4.478942088989489251e-04
5.967589999999999236e+03 -1.187893732458189966e+00 -1.118240025342649583e-03
5.967789999999999964e+03 -1.188067334605100056e+00 2.300632886896781702e-04
5.967989999999999782e+03 -1.188079747343470105e+00 1.008002217333135893e-03
5.968189999999999600e+03 -1.188074760311160105e+00 6.125822286605981304e-04
5.968389999999999418e+03 -1.188177948467270095e+00 -4.816556565965342458e-04
5.968589999999999236e+03 -1.188424162446509946e+00 4.053786265070627752e-04
5.968789999999999964e+03 -1.188323716719899892e+00 1.109311022338766448e-03
5.968989999999999782e+03 -1.188408330984600081e+00 1.224274328929508002e-03
5.969189999999999600e+03 -1.188281493465769945e+00 1.506708439069750008e-04
5.969389999999999418e+03 -1.188612571762720060e+00 -1.066281526033560981e-03
5.969589999999999236e+03 -1.188765106463089971e+00 1.851602617482380972e-04
5.969789999999999964e+03 -1.188808894905410085e+00 3.023891675646292942e-04
5.969989999999999782e+03 -1.188934517706530025e+00 9.601046908370182420e-05
5.970189999999999600e+03 -1.189025683906939967e+00 1.124684689388409349e-03
5.970389999999999418e+03 -1.188915156956549923e+00 -9.565082151645328760e-05
5.970589999999999236e+03 -1.189286472033999953e+00 4.897010045770047428e-05
5.970789999999999964e+03 -1.189142744878810110e+00 9.896608286996317651e-04
5.970989999999999782e+03 -1.189298108319349900e+00 -1.466768553954939558e-04
5.971189999999999600e+03 -1.189415246904190093e+00 6.044090091600394597e-04
5.971389999999999418e+03 -1.189398185745399905e+00 1.166404345199390565e-03
5.971589999999999236e+03 -1.189386308694059924e+00 2.331153233131065051e-04
5.971789999999999964e+03 -1.189583499983960069e+00 1.056703830128495413e-04
5.971989999999999782e+03 -1.189600880097219981e+00 3.630092138983401955e-04
5.972189999999999600e+03 -1.189738994859520060e+00 2.230993564364784089e-04
5.972389999999999418e+03 -1.189788493672190084e+00 1.154899557585070159e-03
5.972589999999999236e+03 -1.189712697770050065e+00 2.062434713429110147e-04
5.972789999999999964e+03 -1.189979976803720030e+00 -2.563678810184727690e-04
5.972989999999999782e+03 -1.190010381245429905e+00 -2.540898548451441473e-04
5.973189999999999600e+03 -1.190277137319250000e+00 5.029362421523122509e-04
5.973389999999999418e+03 -1.190133753479730050e+00 9.102162776716474354e-04
5.973589999999999236e+03 -1.190307011459319941e+00 4.371314202977521677e-04
5.973789999999999964e+03 -1.190272232335759961e+00 5.040704423364441829e-04
5.973989999999999782e+03 -1.190430123318579891e+00 1.169132836328704884e-03
5.974189999999999600e+03 -1.190242667753850014e+00 1.853336527111954857e-04
5.974389999999999418e+03 -1.190626406656410063e+00 -8.164460266554481082e-04
5.974589999999999236e+03 -1.190668926741579980e+00 5.858883569886982716e-04
5.974789999999999964e+03 -1.190730735814760077e+00 1.083274689240811732e-03
5.974989999999999782e+03 -1.190659072364999904e+00 1.921087498568587165e-03
5.975189999999999600e+03 -1.190528547186159969e+00 4.367649855495482972e-04
5.975389999999999418e+03 -1.190797635342389915e+00 8.667681537056431496e-05
5.975589999999999236e+03 -1.190747478887449917e+00 1.855842695562705377e-04
5.975789999999999964e+03 -1.190993861146840027e+00 9.886663142867581008e-05
5.975989999999999782e+03 -1.190963612208089994e+00 1.143277848120841404e-03
5.976189999999999600e+03 -1.190970232019439967e+00 1.630209637344331801e-04
5.976389999999999418e+03 -1.191165017805090098e+00 -7.413863759578373373e-05
5.976589999999999236e+03 -1.191226081656949987e+00 9.183858505242051794e-04
5.976789999999999964e+03 -1.191193016480059930e+00 1.346908219875881784e-03
5.976989999999999782e+03 -1.191155705696840039e+00 -1.523237147817459159e-04
5.977189999999999600e+03 -1.191466814838539889e+00 -3.949663109404757998e-04
5.977389999999999418e+03 -1.191485206811019992e+00 1.612746682548229712e-03
5.977589999999999236e+03 -1.191335411115060028e+00 8.673132073964330167e-04
5.977789999999999964e+03 -1.191524930084260081e+00 6.363556983382049866e-04
5.977989999999999782e+03 -1.191428154632510061e+00 1.213785144494950721e-03
5.978189999999999600e+03 -1.191485114801720036e+00 2.530527292759005486e-04
5.978389999999999418e+03 -1.191608891898719991e+00 1.857443413623468935e-04
5.978589999999999236e+03 -1.191681303858949992e+00 1.442385432877864868e-03
5.978789999999999964e+03 -1.191516597512269904e+00 1.402861831962738757e-03
5.978989999999999782e+03 -1.191598082790710000e+00 -4.801789683494821388e-04
5.979189999999999600e+03 -1.191865660648590008e+00 4.957719701282908452e-04
5.979389999999999418e+03 -1.191723099706119893e+00 1.273925422637743566e-03
5.979589999999999236e+03 -1.191812039137160051e+00 -1.711974411171491770e-04
5.979789999999999964e+03 -1.192001230851110094e+00 8.019304674154421409e-04
5.979989999999999782e+03 -1.191866772136020103e+00 1.382720453911197300e-03
5.980189999999999600e+03 -1.191922633580499991e+00 2.436672807711822743e-04
5.980389999999999418e+03 -1.192049663992369890e+00 9.945713593401501670e-04
5.980589999999999236e+03 -1.191933142569600035e+00 2.336802910578253661e-03
5.980789999999999964e+03 -1.191752040784670008e+00 7.333276633742135059e-04
5.980989999999999782e+03 -1.192003624514829996e+00 7.628135050042780764e-04
5.981189999999999600e+03 -1.191815753750919971e+00 1.995368686245884305e-03
5.981389999999999418e+03 -1.191784383369830058e+00 1.312644756328655484e-03
5.981589999999999236e+03 -1.191753243554569908e+00 2.168436810531383045e-03
5.981789999999999964e+03 -1.191525411478459917e+00 1.391729111000469636e-03
5.981989999999999782e+03 -1.191672578192729981e+00 3.819004744548986133e-04
5.982189999999999600e+03 -1.191676569542230002e+00 1.134444746113201247e-03
5.982389999999999418e+03 -1.191650976854889965e+00 1.322909516872476177e-03
5.982589999999999236e+03 -1.191611702894630032e+00 1.965007392400628435e-03
5.982789999999999964e+03 -1.191438705663889985e+00 1.360166377288347375e-03
5.982989999999999782e+03 -1.191538283297850054e+00 1.428422207738189653e-03
5.983189999999999600e+03 -1.191349616774459941e+00 1.742886087324560258e-03
5.983389999999999418e+03 -1.191377003849390048e+00 1.948841423038298170e-03
5.983589999999999236e+03 -1.191141056758070027e+00 2.970874914905135243e-03
5.983789999999999964e+03 -1.190933818574219982e+00 2.911406164929631647e-03
5.983989999999999782e+03 -1.190711523551019946e+00 2.381860174479487249e-03
5.984189999999999600e+03 -1.190625851701379911e+00 1.880335226309401897e-03
5.984389999999999418e+03 -1.190518690303139948e+00 2.852057206388179406e-03
5.984589999999999236e+03 -1.190209943062279896e+00 2.782244107801937205e-03
5.984789999999999964e+03 -1.190118808454210031e+00 2.841041864965373944e-03
5.984989999999999782e+03 -1.189796563183100009e+00 3.749969832486856058e-03
5.985189999999999600e+03 -1.189496768622799960e+00 4.454665223515772744e-03
5.985389999999999418e+03 -1.189012748478559978e+00 3.948928214578028943e-03
5.985589999999999236e+03 -1.188829054493770077e+00 3.859475105745845038e-03
5.985789999999999964e+03 -1.188365569839779923e+00 5.078042554451918898e-03
5.985989999999999782e+03 -1.187902132866849980e+00 5.661871994727498032e-03
5.986189999999999600e+03 -1.187304620184820081e+00 6.300753229552594030e-03
5.986389999999999418e+03 -1.186694517103350055e+00 7.317809028059583075e-03
5.986589999999999236e+03 -1.185863521877140059e+00 8.660195243915681795e-03
5.986789999999999964e+03 -1.184945251092959895e+00 9.174988726466224223e-03
5.986989999999999782e+03 -1.183996076222910032e+00 1.183911458970124571e-02
5.987189999999999600e+03 -1.182466209806050106e+00 1.473408260201797444e-02
5.987389999999999418e+03 -1.180852445541960005e+00 1.736861017856804884e-02
5.987589999999999236e+03 -1.178717778285079953e+00 2.185360782999140952e-02
5.987789999999999964e+03 -1.176074406143190032e+00 2.848347239861073049e-02
5.987989999999999782e+03 -1.172417740143149922e+00 3.830677055534068703e-02
5.988189999999999600e+03 -1.167519261989159896e+00 5.226032292920446826e-02
5.988389999999999418e+03 -1.160659319518569932e+00 7.139411135057353863e-02
5.988589999999999236e+03 -1.151368353157959934e+00 9.333752809767767444e-02
5.988789999999999964e+03 -1.139470924270520102e+00 1.134123247032402110e-01
5.988989999999999782e+03 -1.125571445188930042e+00 1.254802130990967934e-01
5.989189999999999600e+03 -1.110903626230840047e+00 1.246835220728673976e-01
5.989389999999999418e+03 -1.097187041193020018e+00 1.114061437329280091e-01
5.989589999999999236e+03 -1.085567271397420042e+00 9.378313592919519659e-02
5.989789999999999964e+03 -1.075896349049989986e+00 7.982692928723914005e-02
5.989989999999999782e+03 -1.067480465057560002e+00 7.232107563238235337e-02
5.990189999999999600e+03 -1.059532639722299940e+00 6.970185509464929541e-02
5.990389999999999418e+03 -1.051718042577469925e+00 6.749731571656666929e-02
5.990589999999999236e+03 -1.044276306941019916e+00 6.331385915531514974e-02
5.990789999999999964e+03 -1.037422093762129904e+00 5.849268310085101175e-02
5.990989999999999782e+03 -1.031087141502549986e+00 5.258829138357868499e-02
5.991189999999999600e+03 -1.025588382372530027e+00 4.891887365988856207e-02
5.991389999999999418e+03 -1.020095807676739907e+00 5.002670296369247233e-02
5.991589999999999236e+03 -1.014342727392709920e+00 5.126441172244784045e-02
5.991789999999999964e+03 -1.008566015493830070e+00 5.026942020458389365e-02
5.991989999999999782e+03 -1.003041352521190088e+00 4.806757845361400716e-02
5.992189999999999600e+03 -9.977701110347280133e-01 4.619025327713073559e-02
5.992389999999999418e+03 -9.926764201474950200e-01 4.458201692599155636e-02
5.992589999999999236e+03 -9.877743768067569485e-01 4.189902661530077455e-02
5.992789999999999964e+03 -9.832966122085700089e-01 3.832794415859031023e-02
5.992989999999999782e+03 -9.792143718901380467e-01 3.442112620133339074e-02
5.993189999999999600e+03 -9.756334841375150502e-01 3.049436313107235091e-02
5.993389999999999418e+03 -9.724526994062600016e-01 2.640556853598014647e-02
5.993589999999999236e+03 -9.698104643471190389e-01 2.232786781704403090e-02
5.993789999999999964e+03 -9.675657855204240487e-01 1.877209354132651151e-02
5.993989999999999782e+03 -9.657398392289630040e-01 1.411714136668081217e-02
5.994189999999999600e+03 -9.645637842460880185e-01 1.050547544644673398e-02
