# energy mu dmude
1.982270739400000093e+04 4.408420833498939984e-01 -2.475096671556494422e-05
1.982770739400000093e+04 4.407712708763599774e-01 -2.564007266008639470e-05
1.983270739400000093e+04 4.406902037079479806e-01 -2.733709034850194378e-05
1.983770739400000093e+04 4.405998183154560266e-01 -2.698465751888548021e-05
1.984270739400000093e+04 4.405228160069800114e-01 -2.360984453867272297e-05
1.984770739400000093e+04 4.404713547467529744e-01 -2.242581371889323740e-05
1.985270739400000093e+04 4.404080087127150156e-01 -2.071604106413431088e-05
1.985770739400000093e+04 4.403762674835969837e-01 -1.933850052795714502e-05
1.986270739400000093e+04 4.403288096099829962e-01 -1.977935629088869377e-05
1.986770739400000093e+04 4.402919836759859873e-01 -1.615334971661527152e-05
1.987270739400000093e+04 4.402863471300479947e-01 -1.642026545445086588e-05
1.987770739400000093e+04 4.402464426659090102e-01 -1.400442390154584360e-05
1.988270739400000093e+04 4.402686697487669942e-01 -5.305472602357900851e-06
1.988770739400000093e+04 4.403290965127349965e-01 -8.429749684117475390e-07
1.989270739400000093e+04 4.404027927730420067e-01 -2.058193361763658222e-06
1.989770739400000093e+04 4.404492035539759875e-01 2.891844380076659916e-06
1.990270739400000093e+04 4.405799921405569863e-01 1.418650152763471542e-05
1.990770739400000093e+04 4.407566722819790117e-01 1.665256924743947157e-05
1.991270739400000093e+04 4.409159037916680068e-01 2.403849604249680107e-05
1.991770739400000093e+04 4.411777711103220256e-01 4.115244075884741740e-05
1.992270739400000093e+04 4.415343899868430233e-01 5.114166722510534325e-05
1.992770739400000093e+04 4.419114702001010198e-01 6.059246501362617558e-05
1.993270739400000093e+04 4.423770918881220204e-01 8.046625317762530656e-05
1.993770739400000093e+04 4.429833907169409835e-01 1.060039144257615869e-04
1.994270739400000093e+04 4.437435565204400079e-01 1.373440248843549847e-04
1.994770739400000093e+04 4.447113232622489920e-01 1.773902507534796198e-04
1.995270739400000093e+04 4.459333708356659765e-01 2.278093181566693182e-04
1.995770739400000093e+04 4.474826567489920137e-01 3.001128322240176750e-04
1.996270739400000093e+04 4.495386324722889793e-01 3.523005846930951537e-04
1.996379999999999927e+04 4.500459259539840162e-01 4.110241916155781819e-04
1.996479999999999927e+04 4.505607620403079827e-01 4.405281158660328406e-04
1.996579999999999927e+04 4.510908802637029757e-01 4.521699385046464882e-04
1.996679999999999927e+04 4.516325710437150143e-01 4.885917550465773695e-04
1.996779999999999927e+04 4.522467050399969768e-01 5.577247757383545224e-04
1.996879999999999927e+04 4.529478679363639904e-01 5.694154263558761503e-04
1.996979999999999927e+04 4.535889692599360257e-01 5.869879050557306327e-04
1.997079999999999927e+04 4.543306673497580217e-01 7.064844257780304075e-04
1.997100000000000000e+04 4.545840375705770264e-01 1.209537484975549198e-03
1.997120000000000073e+04 4.548944396182200145e-01 1.018243467895966385e-03
1.997139999999999782e+04 4.550595566094070010e-01 5.553414603770818287e-04
1.997159999999999854e+04 4.551563994575100192e-01 2.112652193101458671e-04
1.997179999999999927e+04 4.551627773518059916e-01 1.178988828632204257e-04
1.997200000000000000e+04 4.552165457700039775e-01 7.686583927332384797e-04
1.997220000000000073e+04 4.555231506621629789e-01 1.246965011470571290e-03
1.997239999999999782e+04 4.557975851759309971e-01 9.235238399780793753e-04
1.997259999999999854e+04 4.559549709319439814e-01 4.881916073727902072e-04
1.997279999999999927e+04 4.560285655236159807e-01 4.958009287128451424e-04
1.997300000000000000e+04 4.561894618294820014e-01 8.920989546809473831e-04
1.997320000000000073e+04 4.564458879661270063e-01 5.525581870253094960e-04
1.997339999999999782e+04 4.564501376094690088e-01 1.064033613572263346e-03
1.997359999999999854e+04 4.569425322251949861e-01 1.274753063271992894e-03
1.997379999999999927e+04 4.570439969945829795e-01 5.086857487489035217e-04
1.997400000000000000e+04 4.571829675165969831e-01 6.249817091313185921e-04
1.997420000000000073e+04 4.573380852661099727e-01 7.464862301569045837e-04
1.997439999999999782e+04 4.575331117304790030e-01 1.408133352611881531e-03
1.997459999999999854e+04 4.579934794628269801e-01 1.751675565592693620e-03
1.997479999999999927e+04 4.583469986509779992e-01 9.365479865041233211e-04
1.997500000000000000e+04 4.584313084045589792e-01 8.249781527185864221e-05
1.997520000000000073e+04 4.583908127300079793e-01 5.223174190101535124e-04
1.997539999999999782e+04 4.586780326481390002e-01 1.357586542062562624e-03
1.997559999999999854e+04 4.590228872257410275e-01 1.501540289089799834e-03
1.997579999999999927e+04 4.593765200055350273e-01 8.920118264750172840e-04
1.997600000000000000e+04 4.594401694717750173e-01 6.712763414187410994e-04
1.997620000000000073e+04 4.596919662414989949e-01 7.015871321496775295e-04
1.997639999999999782e+04 4.597695995490260201e-01 4.653606088208804320e-04
1.997659999999999854e+04 4.599124135396460145e-01 1.093448599614217772e-03
1.997679999999999927e+04 4.602798143711370193e-01 2.198441587046733037e-03
1.997700000000000000e+04 4.609324153448819961e-01 1.489763844112411331e-03
1.997720000000000073e+04 4.609728686819660193e-01 5.912455399777105571e-04
1.997739999999999782e+04 4.612109394815290253e-01 8.571574066745045028e-04
1.997759999999999854e+04 4.613740708897329790e-01 1.162184539307818589e-03
1.997779999999999927e+04 4.617528655341430199e-01 1.479716206327653157e-03
1.997800000000000000e+04 4.620624897367969774e-01 1.230322963314484227e-03
1.997820000000000073e+04 4.623262271542259993e-01 1.250101752729606934e-03
1.997839999999999782e+04 4.626449762739560101e-01 1.106614914597504407e-03
1.997859999999999854e+04 4.628425162375000013e-01 1.381752432283561791e-03
1.997879999999999927e+04 4.632881996696520122e-01 1.834111672802888520e-03
1.997900000000000000e+04 4.636944349417960187e-01 1.502030004337916863e-03
1.997920000000000073e+04 4.639869129564990202e-01 1.267649127261656324e-03
1.997939999999999782e+04 4.642850169358729850e-01 1.114446856716988423e-03
1.997959999999999854e+04 4.645068152954139884e-01 1.406284014221658839e-03
1.997979999999999927e+04 4.649395579428929892e-01 1.887756456816823284e-03
1.998000000000000000e+04 4.653834829464579825e-01 1.485174999026062743e-03
1.998020000000000073e+04 4.656304951964019834e-01 1.220102215093501205e-03
1.998039999999999782e+04 4.659521292385109814e-01 1.553631179445255726e-03
1.998059999999999854e+04 4.663530146138539778e-01 1.504792198985647426e-03
1.998079999999999927e+04 4.666521168600299974e-01 1.838470273553774285e-03
1.998100000000000000e+04 4.672069441525649736e-01 2.274946288765487129e-03
1.998120000000000073e+04 4.677074140033610217e-01 1.650029438913714307e-03
1.998139999999999782e+04 4.679739367734049860e-01 1.448420050334470492e-03
1.998159999999999854e+04 4.683813944122309780e-01 1.596126835586102926e-03
1.998179999999999927e+04 4.687160615029209998e-01 2.248842794249411494e-03
1.998200000000000000e+04 4.694246487445489779e-01 2.422708793122471758e-03
1.998220000000000073e+04 4.698395286728240250e-01 1.805807702321859292e-03
1.998239999999999782e+04 4.702635094512879754e-01 1.407796003667236874e-03
1.998259999999999854e+04 4.704947672340730191e-01 1.838542559120507573e-03
1.998279999999999927e+04 4.711174723388449892e-01 2.345127820496841278e-03
1.998300000000000000e+04 4.715824425297899802e-01 2.153902912324971719e-03
1.998320000000000073e+04 4.721169262882329853e-01 2.383165034790535926e-03
1.998339999999999782e+04 4.726876662415879782e-01 2.149025356604443177e-03
1.998359999999999854e+04 4.731141299840410097e-01 1.896407679286626208e-03
1.998379999999999927e+04 4.735683251221269874e-01 2.245967541269185044e-03
1.998400000000000000e+04 4.741560578223820155e-01 3.258616044380998212e-03
1.998420000000000073e+04 4.750774369437499867e-01 2.883746965756074469e-03
1.998439999999999782e+04 4.754922243141739835e-01 1.554149882029103513e-03
1.998459999999999854e+04 4.758001956639200114e-01 2.246223957056563223e-03
1.998479999999999927e+04 4.765342704495830195e-01 3.055204798616136929e-03
1.998500000000000000e+04 4.772154639892570160e-01 3.214817889881177448e-03
1.998520000000000073e+04 4.780231760533359964e-01 3.096690701573665081e-03
1.998539999999999782e+04 4.786498717784070100e-01 2.796036611451636726e-03
1.998559999999999854e+04 4.793188774947449993e-01 2.862320441727925300e-03
1.998579999999999927e+04 4.799761531730499797e-01 3.545880762082568010e-03
1.998600000000000000e+04 4.809605184957029822e-01 3.960853810752232133e-03
1.998620000000000073e+04 4.818092414148190117e-01 3.065864202513095011e-03
1.998639999999999782e+04 4.823807045222400225e-01 2.560825775979803497e-03
1.998659999999999854e+04 4.829964286633089965e-01 3.865690126013733921e-03
1.998679999999999927e+04 4.841698891299610064e-01 4.367490688122807781e-03
1.998700000000000000e+04 4.850171182648149726e-01 3.711175174418135034e-03
1.998720000000000073e+04 4.858877884789359891e-01 3.980038899494258570e-03
1.998739999999999782e+04 4.868590575206659943e-01 4.193520148302080745e-03
