# energy mu dmude
1.033342993999999999e+04 -1.551487670123300022e+00 5.524435834904368445e-05
1.033852268000000004e+04 -1.554048304362950050e+00 -1.350584560478759090e-05
1.034338869999999952e+04 -1.557200338658450089e+00 -1.022963495785460535e-04
1.034849144999999953e+04 -1.560678644455959940e+00 -7.460607776547851535e-05
1.035359932999999910e+04 -1.563700247605700033e+00 -1.075240068312979573e-05
1.035847982000000047e+04 -1.566379963186939950e+00 -2.317357430148093365e-05
1.036359775000000081e+04 -1.569535254861750051e+00 -3.533994517821792083e-05
1.036848785999999927e+04 -1.572346032464899901e+00 -7.820148664542329170e-06
1.037361586999999963e+04 -1.575223289764269952e+00 -2.066578590631516053e-05
1.037851562000000013e+04 -1.578172253496620048e+00 -3.018362203188253731e-05
1.038342007999999987e+04 -1.581015766157130020e+00 -1.757651914766793490e-05
1.038856314999999995e+04 -1.583977981859010065e+00 3.604511024632373934e-05
1.039347730000000047e+04 -1.586271482289349999e+00 -1.401581053032944542e-05
1.039839617999999973e+04 -1.589623693892640022e+00 -5.512778786985779710e-05
1.040355437999999958e+04 -1.592484148841829983e+00 -1.431873305201041412e-05
1.040848298000000068e+04 -1.595418258005909973e+00 -2.598979238549266102e-05
1.041341633999999976e+04 -1.598268133277189973e+00 -5.006307663749571841e-06
1.041858973999999944e+04 -1.601127320655169939e+00 9.751396738858534127e-06
1.042353286999999909e+04 -1.603828898041280038e+00 2.438836065075511073e-05
1.042848077000000012e+04 -1.606414976869839917e+00 3.253645019116738001e-05
1.043343346999999994e+04 -1.609038557002459902e+00 2.092773465074384537e-05
1.043839095000000088e+04 -1.611748204224290104e+00 5.449287709214270894e-05
1.044358965999999964e+04 -1.614152961694439892e+00 6.503748282959627197e-05
1.044855698999999913e+04 -1.616757126860790095e+00 4.442455958345676112e-05
1.045352911999999924e+04 -1.619261329918290082e+00 8.243099355802508701e-05
1.045850609000000077e+04 -1.621480871849579897e+00 1.555872029558085987e-04
1.046348787000000084e+04 -1.623239055552230026e+00 2.045643920194906693e-04
1.046847450000000026e+04 -1.624959450173129927e+00 2.396196041823827781e-04
