# energy mu dmude
1.782459002200000032e+04 3.866077192833010101e-01 -5.130801157959607789e-05
1.782959002200000032e+04 3.868027737177550107e-01 -4.038467358625517153e-05
1.783459002200000032e+04 3.871230974172900074e-01 -2.404640143745834805e-05
1.783959002200000032e+04 3.875055197923880090e-01 -2.201585893784315185e-05
1.784459002200000032e+04 3.878491298323070158e-01 -2.329861417629150954e-05
1.784959002200000032e+04 3.882168415204250156e-01 -1.987537892753762431e-05
1.785459002200000032e+04 3.885997093553579806e-01 -1.921681796061429403e-05
1.785959002200000032e+04 3.889749734462660258e-01 -2.099405913939657531e-05
1.786459002200000032e+04 3.893374598102170014e-01 -2.330267884178652293e-05
1.786959002200000032e+04 3.896862485605609994e-01 -2.126939850492987668e-05
1.787459002200000032e+04 3.900720526625199858e-01 7.043174512076693373e-06
1.787959002200000032e+04 3.907455311017259958e-01 2.287622847577918189e-05
1.788459002200000032e+04 3.913129092825269884e-01 -1.662350883006288988e-06
1.788959002200000032e+04 3.917049783389709994e-01 -7.012172803370599877e-06
1.789459002200000032e+04 3.922110045538539924e-01 -2.870563740990433360e-06
1.789959002200000032e+04 3.926505697441550202e-01 -4.929322338201953726e-06
1.790459002200000032e+04 3.931329860353490191e-01 4.048887988084759395e-05
1.790959002200000032e+04 3.940934089356969983e-01 6.062438478314256465e-05
1.791459002200000032e+04 3.948067399804839894e-01 -1.149823708348107599e-05
1.791959002200000032e+04 3.949400578473289958e-01 -2.438126199495992277e-05
1.792459002200000032e+04 3.955056458612160042e-01 2.835853990928621611e-05
1.792959002200000032e+04 3.962437858281450120e-01 5.161631215513713558e-05
1.793459002200000032e+04 3.970760948789929801e-01 9.459350296562103646e-05
1.793959002200000032e+04 3.983070989421679808e-01 2.505668256203210514e-04
1.794459002200000032e+04 4.009281161253749892e-01 2.887584497659208662e-04
1.794959002200000032e+04 4.025971032201000055e-01 7.822658131184258138e-05
1.795459002200000032e+04 4.028037327451159944e-01 3.609485269694401581e-05
1.795959002200000032e+04 4.039895515369469892e-01 1.904710909160548492e-04
1.796459002200000032e+04 4.059665737678799791e-01 2.930850288628310740e-04
1.796779999999999927e+04 4.075523713688140037e-01 3.709086537502226106e-04
1.796879999999999927e+04 4.081692788888390266e-01 4.455386936427015339e-04
1.796979999999999927e+04 4.087699646116659813e-01 4.172927791197475478e-04
1.797079999999999927e+04 4.093220870823590096e-01 4.592825803190394435e-04
1.797179999999999927e+04 4.100190809399399949e-01 5.336573313335143259e-04
1.797279999999999927e+04 4.107417899182709831e-01 6.041338250050700895e-04
1.797379999999999927e+04 4.116004292101160256e-01 6.793720343084650587e-04
1.797479999999999927e+04 4.124957051307350242e-01 5.791308998414746280e-04
1.797500000000000000e+04 4.125148300300000015e-01 7.300306236763419096e-04
1.797520000000000073e+04 4.128697263601789902e-01 1.062940864496734247e-03
1.797539999999999782e+04 4.130415643631850098e-01 6.739309295900009975e-04
1.797559999999999854e+04 4.132180134506460156e-01 7.827822404048443480e-04
1.797579999999999927e+04 4.134397838963470018e-01 9.508914557554137012e-04
1.797600000000000000e+04 4.136933483046860149e-01 6.198271743176454827e-04
1.797620000000000073e+04 4.137632524280019930e-01 5.983647191896975881e-04
1.797639999999999782e+04 4.140069715455220178e-01 1.410016550101329987e-03
1.797659999999999854e+04 4.144491978598069948e-01 1.288230339975676318e-03
1.797679999999999927e+04 4.146370510174999802e-01 4.110769029651996473e-04
1.797700000000000000e+04 4.146769081421289860e-01 2.308424834036018798e-04
1.797720000000000073e+04 4.147820838863989779e-01 4.199571823327248642e-04
1.797739999999999782e+04 4.149086920000200074e-01 8.525946118851596492e-04
1.797759999999999854e+04 4.152123278592450006e-01 1.852543421042981411e-03
1.797779999999999927e+04 4.157976340467319787e-01 1.413694152892905429e-03
1.797800000000000000e+04 4.158999602867319845e-01 1.625919057782789217e-04
1.797820000000000073e+04 4.159113589044510229e-01 1.154222472653572201e-03
1.797839999999999782e+04 4.164685674612629840e-01 1.613685767488809170e-03
1.797859999999999854e+04 4.166907317966059843e-01 6.232334531935607505e-04
1.797879999999999927e+04 4.167935985264650256e-01 1.410375938519949860e-03
1.797900000000000000e+04 4.173768420876319829e-01 1.409470327967740329e-03
1.797920000000000073e+04 4.174792933944089790e-01 5.843462898051146040e-04
1.797939999999999782e+04 4.176840347727249769e-01 9.223180399684494362e-04
1.797959999999999854e+04 4.179415210066890207e-01 9.591498052324686635e-04
1.797979999999999927e+04 4.181631579096889983e-01 1.434672079899050167e-03
1.798000000000000000e+04 4.186387764614979967e-01 1.646136971827270434e-03
1.798020000000000073e+04 4.189574168688059985e-01 7.156051612443421143e-04
1.798039999999999782e+04 4.190061804203629725e-01 6.893556211100592204e-04
1.798059999999999854e+04 4.193127795977710237e-01 2.201732135969007836e-03
1.798079999999999927e+04 4.200553028577950210e-01 2.094086432273351873e-03
1.798100000000000000e+04 4.203125226304850193e-01 3.344909361628684214e-04
1.798120000000000073e+04 4.202478815062419826e-01 1.023076330672609236e-03
1.798139999999999782e+04 4.208209702426770060e-01 2.361452644388543388e-03
1.798159999999999854e+04 4.213702711838440140e-01 2.009279264986888001e-03
1.798179999999999927e+04 4.217818103996360257e-01 1.652158700415377749e-03
1.798200000000000000e+04 4.221672924396699944e-01 8.210694537403238598e-04
1.798220000000000073e+04 4.221975931028820184e-01 1.674866009495170390e-04
1.798239999999999782e+04 4.222832625995739941e-01 2.407050856605049902e-03
1.798259999999999854e+04 4.233408996633519772e-01 3.502271481840525755e-03
1.798279999999999927e+04 4.239289704696500016e-01 1.450800321890232704e-03
1.798300000000000000e+04 4.240455534904259971e-01 6.349258822050681634e-04
1.798320000000000073e+04 4.242593651040840186e-01 1.168750485568417806e-03
1.798339999999999782e+04 4.246208249776500243e-01 1.804196879370722172e-03
1.798359999999999854e+04 4.251261295499549897e-01 2.446764263629699811e-03
1.798379999999999927e+04 4.257823489340030187e-01 2.555045085841223165e-03
1.798400000000000000e+04 4.263373242535800078e-01 1.905643321561164465e-03
1.798420000000000073e+04 4.266956490497150201e-01 9.730657331616567735e-04
1.798439999999999782e+04 4.268228309266550169e-01 1.565955690710836784e-03
1.798459999999999854e+04 4.274531271267730248e-01 2.839911913282377760e-03
1.798479999999999927e+04 4.281647001846750067e-01 2.968304563840335267e-03
1.798500000000000000e+04 4.288538928612620205e-01 2.420931612965049676e-03
1.798520000000000073e+04 4.293143741473139929e-01 1.623552835638614623e-03
1.798539999999999782e+04 4.296377919902740206e-01 1.764142794846373409e-03
1.798559999999999854e+04 4.301627649211999804e-01 2.859024368290408961e-03
1.798579999999999927e+04 4.309884285433979723e-01 3.325044294712991080e-03
1.798600000000000000e+04 4.317271748601950176e-01 3.221899360203126731e-03
1.798620000000000073e+04 4.325055236775199874e-01 2.387680448051435894e-03
1.798639999999999782e+04 4.328615957967090200e-01 1.655495594902775796e-03
1.798659999999999854e+04 4.333040756387709913e-01 2.954259870937081013e-03
1.798679999999999927e+04 4.342559189278130116e-01 3.300361020888394666e-03
1.798700000000000000e+04 4.348571628279849777e-01 3.730727751554542213e-03
1.798720000000000073e+04 4.360064246134570110e-01 3.636400760092596638e-03
1.798739999999999782e+04 4.365643986892980277e-01 2.966405869966849511e-03
1.798759999999999854e+04 4.374063193761250079e-01 2.632816955583586714e-03
1.798779999999999927e+04 4.378112690260400064e-01 3.750555462672405631e-03
1.798800000000000000e+04 4.391659204602689770e-01 4.990077017296553827e-03
1.798820000000000073e+04 4.401394653666709789e-01 3.427284965880717047e-03
1.798839999999999782e+04 4.407772303990349916e-01 2.637805078813337378e-03
1.798859999999999854e+04 4.413886238630519987e-01 4.100348298617386214e-03
1.798879999999999927e+04 4.426972889972329850e-01 5.418483621677319846e-03
1.798900000000000000e+04 4.439133395479329947e-01 4.708550667485634188e-03
1.798920000000000073e+04 4.448963431325659856e-01 4.501662707857794973e-03
1.798939999999999782e+04 4.460174897164460028e-01 4.795453852673792552e-03
1.798959999999999854e+04 4.471352616322269991e-01 5.267479621662441401e-03
1.798979999999999927e+04 4.484729366114469928e-01 5.865121523368748563e-03
1.799000000000000000e+04 4.498648597504320001e-01 5.437656050245991309e-03
1.799020000000000073e+04 4.510064471025970190e-01 4.858904339465506747e-03
1.799039999999999782e+04 4.521328843561360222e-01 5.286149481379431511e-03
1.799059999999999854e+04 4.534704582646790216e-01 6.452097196510823626e-03
1.799079999999999927e+04 4.551317408685789934e-01 8.901914676400364893e-03
1.799100000000000000e+04 4.575930988639150265e-01 8.699615874306232399e-03
1.799120000000000073e+04 4.591615826464999772e-01 5.730231655424512099e-03
1.799139999999999782e+04 4.602608200919560133e-01 6.264907605092891706e-03
1.799159999999999854e+04 4.620745712582359777e-01 8.054535223154520723e-03
