# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 1
# SAF: 309826
# PI: Ma
# Proposal: 311269
# Scan ID: 164521
# UID: bc57f65f-4136-40fe-9f83-0a33c848b87c
# Comment: 
# Start time: 02/28/2023  11:36:53
# Stop time: 02/28/2023  11:37:24
# Total time: 00:31
# Trajectory name: Mo-30s-20000.txt
# Element: Molybdenum ( 42)
# Edge: K
# E0: 20000
# Reference Foil Element: Mo
# Keithley Gains I0: 1E7 V/A It: 1E7 V/A Iref: 1E7 V/A PIPS: 1E7 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 19.80 sccm N2 + 0.00 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 19.70 sccm N2 + 0.00 sccm Ar
# Incident Beam Path Vertical: -27.50 mm
# Incident Slits Positions B: TOP: 4.99999375 mm Bottom: -5.0 mm Inboard: -5.0 mm Outboard: 5.0 mm
# Sample Stage Positions: Rotation: 30.0 deg Horizontal: 0.00 mm Vertical: -5.00 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Front End Mirror Horizontal Positions: Up: 14.00 mm Down: 14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
19970.000000 7.030412e-90 6.603101e-90 5.175520e-90 6.240820e-92 -9.770669e-95 5.395524e-94 -1.660873e-94 -1.429426e-93
19971.000000 1.430111e-70 1.343144e-70 1.052756e-70 1.270999e-72 -2.018240e-75 1.090314e-74 -3.362547e-75 -2.902772e-74
19972.000000 1.156571e-53 1.086200e-53 8.513697e-54 1.029228e-55 -1.651415e-58 8.753283e-58 -2.697197e-58 -2.342198e-57
19973.000000 3.740171e-39 3.512461e-39 2.753146e-39 3.333163e-41 -5.353575e-44 2.806866e-43 -8.588612e-44 -7.550909e-43
19974.000000 4.880691e-27 4.583334e-27 3.592665e-27 4.356476e-29 -6.865371e-32 3.624162e-31 -1.088474e-31 -9.811270e-31
19975.000000 2.610455e-17 2.451282e-17 1.921573e-17 2.333843e-19 -3.470525e-22 1.908662e-21 -5.527926e-22 -5.215298e-21
19976.000000 5.896696e-10 5.536806e-10 4.340747e-10 5.277574e-12 -6.930471e-15 4.195735e-14 -1.163142e-14 -1.167354e-13
19977.000000 6.172118e-10 5.796009e-10 4.543273e-10 5.511608e-12 -8.651259e-15 4.570877e-14 -1.366123e-14 -1.239348e-13
19977.200000 2.325715e-53 2.185223e-53 1.713370e-53 2.020423e-55 -3.083277e-58 1.936803e-57 -6.798145e-58 -4.672489e-57
19977.400000 6.756848e-39 6.348375e-39 4.977360e-39 5.895288e-41 -8.659959e-44 5.559990e-43 -1.860011e-43 -1.365267e-42
19977.600000 7.924541e-27 7.445028e-27 5.836847e-27 6.944183e-29 -9.952742e-32 6.436507e-31 -2.060450e-31 -1.609252e-30
19977.800000 3.811458e-17 3.580557e-17 2.806911e-17 3.354294e-19 -4.796481e-22 3.050136e-21 -9.433798e-22 -7.768170e-21
19978.000000 7.749744e-10 7.279555e-10 5.706093e-10 6.849773e-12 -1.009588e-14 6.087123e-14 -1.855091e-14 -1.581294e-13
19978.200000 7.141515e-05 6.707359e-05 5.257139e-05 6.342625e-07 -1.002283e-09 5.465208e-09 -1.687364e-09 -1.452013e-08
19978.400000 3.675176e-02 3.451125e-02 2.705221e-02 3.285699e-04 -5.380080e-07 2.711834e-06 -8.226071e-07 -7.369910e-06
19978.600000 2.496979e-01 2.344182e-01 1.838395e-01 2.244472e-03 -8.722330e-07 1.629645e-05 -2.637075e-06 -4.789978e-05
19978.800000 2.797015e-01 2.625839e-01 2.058966e-01 2.416082e-03 -4.580480e-06 1.327606e-05 -1.529957e-05 -5.265031e-05
19979.000000 2.805904e-01 2.633884e-01 2.065244e-01 2.533841e-03 -5.701013e-06 1.279324e-05 -2.506935e-05 -5.987914e-05
19979.200000 2.797113e-01 2.626776e-01 2.060322e-01 2.534755e-03 -4.189142e-06 2.443729e-05 -1.916274e-05 -5.570238e-05
19979.400000 2.801010e-01 2.629109e-01 2.060393e-01 2.579167e-03 -2.265422e-05 2.906048e-05 -1.669001e-05 -4.679900e-05
19979.600000 2.799640e-01 2.628567e-01 2.060640e-01 2.523961e-03 -2.400988e-05 2.151871e-05 -1.970041e-05 -4.587470e-05
19979.800000 2.798588e-01 2.628305e-01 2.058142e-01 2.499489e-03 -1.919025e-05 1.339688e-05 -5.963847e-06 -4.980266e-05
19980.000000 2.802758e-01 2.631707e-01 2.061262e-01 2.570601e-03 -1.047067e-05 1.542397e-05 -1.586188e-05 -4.804158e-05
19980.200000 2.796823e-01 2.624913e-01 2.059154e-01 2.448606e-03 -1.023518e-05 1.773038e-05 -1.483280e-05 -4.391888e-05
19980.400000 2.801224e-01 2.626120e-01 2.059196e-01 2.474520e-03 -2.019256e-05 2.163061e-05 -1.043546e-05 -3.714931e-05
19980.600000 2.831539e-01 2.654708e-01 2.081394e-01 2.700810e-03 -2.364305e-05 2.710269e-05 -2.633482e-05 -3.348268e-05
19980.800000 2.801540e-01 2.631410e-01 2.060003e-01 2.468854e-03 -1.676299e-05 2.650011e-05 -1.828089e-06 -1.719453e-05
19981.000000 2.772693e-01 2.601070e-01 2.038868e-01 2.543597e-03 -2.386234e-05 2.492731e-05 -3.916715e-06 -3.799626e-05
19981.200000 2.813234e-01 2.641076e-01 2.067573e-01 2.710306e-03 -1.058252e-05 2.334731e-05 -2.289455e-05 -4.785631e-05
19981.400000 2.811028e-01 2.638472e-01 2.068568e-01 2.571462e-03 -9.983965e-06 9.419810e-06 -3.155100e-05 -5.226075e-05
19981.600000 2.826981e-01 2.654073e-01 2.078236e-01 2.517218e-03 -1.539648e-05 1.375569e-05 -2.045882e-05 -5.419701e-05
19981.800000 2.752474e-01 2.585331e-01 2.021426e-01 2.415952e-03 -1.202259e-05 7.966782e-06 -2.973165e-06 -3.712668e-05
19982.000000 2.814732e-01 2.643841e-01 2.065015e-01 2.505182e-03 -1.914305e-05 1.497687e-05 -1.188737e-05 -4.784885e-05
19982.200000 2.862391e-01 2.689906e-01 2.105045e-01 2.691849e-03 -2.813199e-05 2.015029e-05 -1.724994e-05 -4.161909e-05
19982.400000 2.686030e-01 2.520346e-01 1.977446e-01 2.607551e-03 -2.484372e-05 8.871346e-06 -1.161224e-05 -4.117805e-05
19982.600000 2.832250e-01 2.660019e-01 2.081889e-01 2.475246e-03 -2.105293e-05 6.102699e-06 -3.067883e-05 -5.829861e-05
19982.800000 2.808675e-01 2.637770e-01 2.062494e-01 2.457985e-03 -1.771345e-05 9.151040e-06 -2.086124e-05 -4.741593e-05
19983.000000 2.791979e-01 2.619901e-01 2.048442e-01 2.472645e-03 -1.744583e-05 1.242582e-05 -2.861579e-05 -5.098015e-05
19983.200000 2.796513e-01 2.622417e-01 2.052170e-01 2.496184e-03 -1.367011e-05 1.993839e-05 -2.245158e-05 -5.940275e-05
19983.400000 2.800809e-01 2.627892e-01 2.055554e-01 2.592968e-03 -1.419268e-05 2.434670e-05 -1.716752e-05 -6.320817e-05
19983.600000 2.799168e-01 2.628284e-01 2.055910e-01 2.471636e-03 -2.394479e-05 1.860930e-05 -2.290032e-05 -4.660247e-05
19983.800000 2.794268e-01 2.626414e-01 2.053327e-01 2.518571e-03 -2.420045e-05 2.384052e-05 -3.226435e-05 -4.498435e-05
19984.000000 2.800294e-01 2.628428e-01 2.055999e-01 2.491524e-03 -2.335533e-05 2.589743e-05 -3.610107e-05 -4.493366e-05
19984.200000 2.807318e-01 2.634332e-01 2.061101e-01 2.539245e-03 -1.595115e-05 2.989965e-05 -3.529008e-05 -4.470204e-05
19984.400000 2.763497e-01 2.593910e-01 2.028020e-01 2.397644e-03 -3.092115e-05 2.181724e-05 -3.489033e-05 -5.906712e-05
19984.600000 2.893939e-01 2.716359e-01 2.121617e-01 2.493017e-03 -3.360355e-05 1.003293e-05 -3.469732e-05 -7.499185e-05
19984.800000 2.580876e-01 2.422690e-01 1.893568e-01 2.413201e-03 -1.975088e-05 1.840503e-05 -3.053016e-05 -6.721231e-05
19985.000000 2.940815e-01 2.761976e-01 2.155484e-01 2.545581e-03 -1.371566e-05 2.847943e-05 -2.790569e-05 -7.686111e-05
19985.200000 2.844120e-01 2.669903e-01 2.085121e-01 2.587076e-03 -1.883845e-05 2.980105e-05 -2.782794e-05 -7.786064e-05
19985.400000 2.677344e-01 2.511691e-01 1.961886e-01 2.457174e-03 -2.575286e-05 1.936009e-05 -2.865988e-05 -7.957469e-05
19985.600000 2.803199e-01 2.629001e-01 2.052586e-01 2.418897e-03 -3.212891e-05 2.609617e-05 -2.879745e-05 -7.593103e-05
19985.800000 2.816802e-01 2.646628e-01 2.063803e-01 2.457889e-03 -3.001926e-05 4.041446e-05 -2.873123e-05 -5.965537e-05
19986.000000 2.886437e-01 2.709086e-01 2.114550e-01 2.667461e-03 -3.020769e-05 3.998411e-05 -3.538415e-05 -6.250066e-05
19986.200000 2.606140e-01 2.443879e-01 1.907778e-01 2.460307e-03 -1.656776e-05 3.467322e-05 -3.112630e-05 -5.893359e-05
19986.400000 2.837664e-01 2.662159e-01 2.074251e-01 2.587585e-03 -1.282303e-05 4.024693e-05 -2.219919e-05 -4.574882e-05
19986.600000 2.849083e-01 2.673717e-01 2.086356e-01 2.559931e-03 -1.472976e-05 3.397274e-05 -2.923151e-05 -5.271013e-05
19986.800000 2.779729e-01 2.605703e-01 2.037406e-01 2.824269e-03 -1.326714e-05 2.791928e-05 -2.714851e-05 -5.046706e-05
19987.000000 2.809463e-01 2.635363e-01 2.055456e-01 2.485983e-03 -1.305533e-05 3.726759e-05 -3.722741e-05 -5.099869e-05
19987.200000 2.787864e-01 2.618783e-01 2.039179e-01 2.403631e-03 -1.980512e-05 3.090407e-05 -4.219378e-05 -5.524349e-05
19987.400000 2.799433e-01 2.628548e-01 2.049136e-01 2.591123e-03 -1.909743e-05 2.637154e-05 -2.925322e-05 -5.660832e-05
19987.600000 2.801168e-01 2.628075e-01 2.049155e-01 2.600716e-03 -7.191555e-06 1.862667e-05 -2.686851e-05 -5.316875e-05
19987.800000 2.781368e-01 2.610837e-01 2.034015e-01 2.494382e-03 -1.527114e-05 1.099332e-05 -4.283730e-05 -5.232432e-05
19988.000000 2.841079e-01 2.668872e-01 2.081136e-01 2.528526e-03 -2.383109e-05 1.815887e-05 -4.737234e-05 -5.987768e-05
19988.200000 2.705988e-01 2.540574e-01 1.978243e-01 2.593323e-03 -2.901310e-05 2.876223e-05 -4.191087e-05 -6.192393e-05
19988.400000 2.846722e-01 2.669829e-01 2.084714e-01 2.802770e-03 -1.865222e-05 2.164435e-05 -2.774115e-05 -6.695075e-05
19988.600000 2.824535e-01 2.648829e-01 2.065430e-01 2.636681e-03 -2.672282e-05 3.129161e-05 -2.426453e-05 -5.111980e-05
19988.800000 2.766061e-01 2.598727e-01 2.024183e-01 2.587180e-03 -1.874120e-05 2.360788e-05 -3.317807e-05 -5.778794e-05
19989.000000 2.796821e-01 2.627777e-01 2.047938e-01 2.525545e-03 -2.311762e-05 1.547377e-05 -2.316096e-05 -5.890750e-05
19989.200000 2.793284e-01 2.622407e-01 2.044832e-01 2.607728e-03 -2.380002e-05 1.505071e-05 -3.904711e-05 -5.372356e-05
19989.400000 2.794963e-01 2.625249e-01 2.045527e-01 2.673097e-03 -2.302773e-05 1.629843e-05 -3.368234e-05 -5.543463e-05
19989.600000 2.764765e-01 2.596371e-01 2.019759e-01 2.581900e-03 -2.621850e-05 2.099773e-05 -3.979856e-05 -6.714755e-05
19989.800000 2.832571e-01 2.659847e-01 2.067367e-01 2.414088e-03 -1.725378e-05 2.422750e-05 -2.983547e-05 -5.506760e-05
19990.000000 2.770795e-01 2.599280e-01 2.023030e-01 2.651260e-03 -1.455136e-05 2.843594e-05 -2.375659e-05 -5.298988e-05
19990.200000 2.790815e-01 2.618068e-01 2.032266e-01 2.548330e-03 -1.061748e-05 1.397530e-05 -2.304587e-05 -4.755303e-05
19990.400000 2.818074e-01 2.644981e-01 2.057403e-01 2.620588e-03 -1.847631e-05 1.110083e-07 -1.956212e-05 -4.581996e-05
19990.600000 2.726393e-01 2.558023e-01 1.990257e-01 2.584905e-03 -2.073812e-05 9.555681e-06 -3.239337e-05 -5.413898e-05
19990.800000 2.832200e-01 2.658366e-01 2.065072e-01 2.659024e-03 -2.177604e-05 1.381365e-05 -2.247061e-05 -5.228373e-05
19991.000000 2.787370e-01 2.618407e-01 2.032830e-01 2.530979e-03 -2.446905e-05 3.798538e-06 -2.129962e-05 -6.609494e-05
19991.200000 2.793569e-01 2.620282e-01 2.036191e-01 2.498659e-03 -2.554763e-05 1.353097e-06 -1.871626e-05 -5.923581e-05
19991.400000 2.798693e-01 2.626325e-01 2.041410e-01 2.511478e-03 -2.749487e-05 9.271523e-06 -2.190970e-05 -5.951353e-05
19991.600000 2.779230e-01 2.611440e-01 2.027180e-01 2.486530e-03 -3.216095e-05 1.266793e-05 -2.345335e-05 -4.827700e-05
19991.800000 2.799474e-01 2.631219e-01 2.040851e-01 2.466072e-03 -2.391451e-05 9.035442e-06 -2.176162e-05 -3.712489e-05
19992.000000 2.799658e-01 2.630880e-01 2.039955e-01 2.615518e-03 -2.438688e-05 1.484916e-05 -2.645066e-05 -5.788017e-05
19992.200000 2.905814e-01 2.728124e-01 2.114701e-01 2.769344e-03 -2.343482e-05 1.831356e-05 -1.778597e-05 -4.986238e-05
19992.400000 2.656898e-01 2.494528e-01 1.935554e-01 2.489031e-03 -1.932034e-05 2.152600e-05 -1.670722e-05 -5.944876e-05
19992.600000 2.852576e-01 2.677601e-01 2.076690e-01 2.601345e-03 -2.594199e-05 2.470006e-05 -1.653098e-05 -5.891074e-05
19992.800000 2.758424e-01 2.590570e-01 2.010364e-01 2.359709e-03 -3.041399e-05 1.828054e-05 -1.942875e-05 -6.157494e-05
19993.000000 2.838237e-01 2.664364e-01 2.064187e-01 2.580600e-03 -4.011249e-05 1.383110e-05 -1.330066e-05 -6.332801e-05
19993.200000 2.753575e-01 2.581450e-01 1.998925e-01 2.457217e-03 -2.985750e-05 1.349264e-05 -1.259940e-05 -5.782014e-05
19993.400000 2.777068e-01 2.604871e-01 2.016787e-01 2.635651e-03 -3.470669e-05 1.623668e-05 -6.753283e-06 -5.361696e-05
19993.600000 2.816704e-01 2.644423e-01 2.048395e-01 2.488642e-03 -3.302086e-05 2.046040e-05 -4.947347e-06 -4.231202e-05
19993.800000 2.821193e-01 2.651260e-01 2.049503e-01 2.484544e-03 -4.650017e-05 3.676428e-06 -8.799895e-06 -4.725031e-05
19994.000000 2.752698e-01 2.585781e-01 2.002826e-01 2.418510e-03 -4.658826e-05 5.632722e-06 -2.122625e-05 -5.567912e-05
19994.200000 2.889450e-01 2.711046e-01 2.096478e-01 2.513853e-03 -4.351894e-05 1.730148e-05 -2.742731e-05 -5.031061e-05
19994.400000 2.673117e-01 2.507802e-01 1.937836e-01 2.504462e-03 -3.084439e-05 1.193691e-05 -1.743344e-05 -4.926529e-05
19994.600000 2.729274e-01 2.563885e-01 1.980088e-01 2.452648e-03 -2.472177e-05 1.179291e-05 -2.416091e-05 -5.950745e-05
19994.800000 2.843235e-01 2.670112e-01 2.064052e-01 2.387002e-03 -2.260937e-05 1.572518e-05 -1.233781e-05 -5.921943e-05
19995.000000 2.805619e-01 2.631509e-01 2.035395e-01 2.572956e-03 -1.812946e-05 1.521003e-05 -1.981606e-05 -5.641858e-05
19995.200000 2.791421e-01 2.620075e-01 2.028298e-01 2.627757e-03 -1.755688e-05 1.926455e-05 -2.678689e-05 -5.912032e-05
19995.400000 2.793537e-01 2.621435e-01 2.029399e-01 2.583685e-03 -2.626868e-05 1.997650e-05 -2.713357e-05 -7.170219e-05
19995.600000 2.779103e-01 2.611076e-01 2.011802e-01 2.516471e-03 -2.484905e-05 7.712601e-06 -1.311696e-05 -5.956324e-05
19995.800000 2.875107e-01 2.698319e-01 2.086996e-01 2.492392e-03 -2.415896e-05 1.210396e-05 -1.184621e-05 -5.697927e-05
19996.000000 2.748015e-01 2.574991e-01 1.992950e-01 2.599023e-03 -1.547875e-05 2.659897e-05 -5.905580e-06 -4.694870e-05
19996.200000 2.755174e-01 2.587485e-01 1.997773e-01 2.344852e-03 -1.381300e-05 2.903368e-05 -1.227805e-05 -5.873479e-05
19996.400000 2.798745e-01 2.627536e-01 2.029100e-01 2.650024e-03 -1.252360e-05 3.235749e-05 -1.110728e-05 -6.294706e-05
