# Facility: NSLS-II
# Beamline: QAS
# Year: 2023
# Cycle: 1
# SAF: 309826
# PI: Ma
# Proposal: 311269
# Scan ID: 164539
# UID: c790d1fd-f2c0-4cc0-a35b-b79c6dff5b1e
# Comment: new crystal unfocused
# Start time: 02/28/2023  13:44:46
# Stop time: 02/28/2023  13:45:19
# Total time: 00:33
# Trajectory name: Ru-30s-22117.txt
# Element: Ruthenium ( 44)
# Edge: K
# E0: 22117
# Reference Foil Element: Ru
# Keithley Gains I0: 1E7 V/A It: 1E7 V/A Iref: 1E8 V/A PIPS: 1E7 V/A 
# Ion Chamber Gas Flow Rates: I0: 0.00 sccm He + 9.80 sccm N2 + 89.80 sccm Ar 
# Ion Chamber Gas Flow Rates: It&Iref: 9.80 sccm N2 + 90.10 sccm Ar
# Incident Beam Path Vertical: -27.40 mm
# Incident Slits Positions B: TOP: 0.9999937499999998 mm Bottom: -1.0 mm Inboard: -2.0 mm Outboard: 2.0 mm
# Sample Stage Positions: Rotation: 30.0 deg Horizontal: 0.00 mm Vertical: -5.00 mm Beam Direction: 0.00 mm
# PerkinElmer Vertical Position: 500.00 mm
# Front End Mirror Horizontal Positions: Up: 14.00 mm Down: 14.00 mm
#
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
21939.117782 1.292815e+00 1.083580e+00 4.322319e+00 2.055529e-04 -2.441103e-05 1.612110e-06 6.564670e-06 -3.113473e-05
21944.117782 2.559727e+00 2.145605e+00 8.564504e+00 3.899239e-04 -4.743417e-05 1.096922e-05 9.065067e-06 -5.368765e-05
21949.117782 2.581331e+00 2.164123e+00 8.644502e+00 4.035533e-04 -4.801106e-05 -1.847374e-06 5.137765e-06 -4.190438e-05
21954.117782 2.578011e+00 2.161226e+00 8.644497e+00 3.724111e-04 -6.120444e-05 5.214518e-06 2.067308e-06 -3.890496e-05
21959.117782 2.573637e+00 2.157722e+00 8.644555e+00 3.952084e-04 -5.970682e-05 7.482211e-06 -4.600869e-06 -3.080535e-05
21964.117782 2.567151e+00 2.152848e+00 8.644551e+00 3.843899e-04 -4.406007e-05 1.240070e-05 -5.646451e-06 -4.393729e-05
21969.117782 2.567102e+00 2.153011e+00 8.644605e+00 3.844344e-04 -5.274873e-05 9.010692e-06 -1.016442e-05 -5.231627e-05
21974.117782 2.567210e+00 2.153081e+00 8.644454e+00 4.122945e-04 -5.288554e-05 -1.088727e-05 -1.272054e-06 -3.487921e-05
21979.117782 2.564146e+00 2.150778e+00 8.644583e+00 4.117054e-04 -5.159481e-05 -1.632664e-05 -1.264326e-06 -2.842005e-05
21984.117782 2.560088e+00 2.147512e+00 8.644336e+00 4.033548e-04 -3.814708e-05 -1.288343e-05 -5.488563e-06 -3.787704e-05
