# energy mu dmude
7.517209612000000561e+03 6.486521079436560200e-01 5.986914069151004286e-05
7.522209612000000561e+03 6.478931883658169966e-01 2.689387673912357673e-05
7.527209612000000561e+03 6.466459829049540087e-01 -9.959645842328013047e-06
7.532209612000000561e+03 6.453413495811319844e-01 -1.828197466870726113e-05
7.537209612000000561e+03 6.439709100595599756e-01 -7.080950283706104256e-06
7.542209612000000561e+03 6.428321374879220063e-01 5.143012339756953225e-06
7.547209612000000561e+03 6.416427060211230549e-01 -3.593013261249015280e-06
7.552209612000000561e+03 6.403745735152970298e-01 -3.538538225542372713e-06
7.557209612000000561e+03 6.391859486952909952e-01 -1.128489546383588885e-06
7.562209612000000561e+03 6.379535033260149701e-01 -1.057056870274512581e-05
7.567209612000000561e+03 6.366250635839779681e-01 -1.254065398992657857e-05
7.572209612000000561e+03 6.353634458982809763e-01 -7.225938095124987701e-06
7.577209612000000561e+03 6.341137045632520008e-01 -6.576982525209601601e-06
7.582209612000000561e+03 6.328616963789059913e-01 -4.553998793898375113e-06
7.587209612000000561e+03 6.316419106614880041e-01 6.675813648985123093e-06
7.592209612000000561e+03 6.305561895125629812e-01 9.713673345803593747e-06
7.597209612000000561e+03 6.293813873320990293e-01 1.345899181660983003e-06
7.602209612000000561e+03 6.281717591842009840e-01 -3.555171896335385640e-06
7.607209612000000561e+03 6.269243837008350306e-01 5.352537448682093078e-06
7.612209612000000561e+03 6.258466577184369495e-01 6.346496734557649584e-06
7.617209612000000561e+03 6.246140004277229707e-01 7.799533873068374175e-06
7.622209612000000561e+03 6.235577904981840502e-01 1.424647868704069334e-05
7.627209612000000561e+03 6.224205972542730114e-01 1.342230963474159790e-05
7.632209612000000561e+03 6.213521833249709969e-01 1.720776315597709918e-05
7.637209612000000561e+03 6.202710437192640036e-01 1.854102791820900863e-05
7.642209612000000561e+03 6.192223722964259602e-01 1.568635937549811888e-05
7.647209612000000561e+03 6.180989617826789795e-01 2.355450439182035893e-05
7.652209612000000561e+03 6.171667990295699457e-01 4.036040098206341675e-05
7.657209612000000561e+03 6.162922442056040229e-01 4.535130958583888464e-05
7.662209612000000561e+03 6.154339850372609888e-01 5.214309191707265249e-05
7.667209612000000561e+03 6.146600004903880476e-01 6.451721321124358817e-05
7.672209612000000561e+03 6.139849728725640388e-01 9.035427596267917700e-05
7.677209612000000561e+03 6.135935742852319796e-01 1.043434733863242539e-04
7.679140000000000327e+03 6.133894590562799509e-01 1.199534405957673576e-04
7.680140000000000327e+03 6.134095071233910401e-01 1.588260288701182511e-04
7.681140000000000327e+03 6.133789548475939712e-01 1.758411063429961892e-04
7.682140000000000327e+03 6.134493935477599580e-01 1.676997381342189980e-04
7.683140000000000327e+03 6.133947303798069628e-01 1.568708453306547936e-04
7.684140000000000327e+03 6.134330990077370149e-01 1.791293055170045841e-04
7.685140000000000327e+03 6.134443548990069495e-01 1.664593383930875175e-04
7.686140000000000327e+03 6.134452010610430550e-01 1.834824601509200286e-04
7.686340000000000146e+03 6.134818648048500078e-01 3.552758902876645562e-04
7.686539999999999964e+03 6.135594585831880554e-01 -8.427531349511781008e-06
7.686740000000000691e+03 6.133806987335409522e-01 -2.874989077402499552e-04
7.686940000000000509e+03 6.132929969574359985e-01 3.249600446087891076e-04
7.687140000000000327e+03 6.134770000088479724e-01 6.065310792201714356e-04
7.687340000000000146e+03 6.135560743488860380e-01 1.219285352878311660e-04
7.687539999999999964e+03 6.134530445729989845e-01 1.573105839879887957e-04
7.687740000000000691e+03 6.135530759005749513e-01 4.209331783919444624e-04
7.687940000000000509e+03 6.136061912781940464e-01 2.956044979883162035e-04
7.688140000000000327e+03 6.136319897196069739e-01 2.613437475566948048e-04
7.688340000000000146e+03 6.136648122609940081e-01 -1.984556003731854281e-05
7.688539999999999964e+03 6.135240606853350487e-01 -4.006553417646708767e-05
7.688740000000000691e+03 6.135449068216910495e-01 3.230549730644862198e-04
7.688940000000000509e+03 6.136192335759930172e-01 3.257909855792132494e-04
7.689140000000000327e+03 6.136417002680339960e-01 2.930046428396445007e-04
7.689340000000000146e+03 6.136966074861179843e-01 3.800313134886806193e-04
7.689539999999999964e+03 6.137706205673379989e-01 2.253788466182755218e-04
7.689740000000000691e+03 6.137339262547030216e-01 -4.902752694211233686e-05
7.689940000000000509e+03 6.136454068890380142e-01 1.064332175217524030e-04
7.690140000000000327e+03 6.137007928545119562e-01 6.753995817417974504e-04
7.690340000000000146e+03 6.139492754839970257e-01 3.461757774141423910e-04
7.690539999999999964e+03 6.138096603283389463e-01 -9.368489384164981808e-05
7.690740000000000691e+03 6.137976109947359538e-01 1.871415751474064424e-04
7.690940000000000509e+03 6.138243309447920515e-01 6.176432012916099759e-04
7.691140000000000327e+03 6.140672701589300342e-01 8.129313916001278941e-04
7.691340000000000146e+03 6.142096604085010014e-01 2.465631049124051969e-04
7.691539999999999964e+03 6.141171364835039670e-01 -8.639831987912036570e-05
7.691740000000000691e+03 6.140623117982050294e-01 1.464818029175016326e-05
7.691940000000000509e+03 6.140296382866979874e-01 6.561083972349804512e-04
7.692140000000000327e+03 6.143547541154850133e-01 3.178857606420686555e-04
7.692340000000000146e+03 6.141217494236049790e-01 1.640089767776515661e-04
7.692539999999999964e+03 6.143557231631040505e-01 1.004044501226266381e-03
7.692740000000000691e+03 6.146202762629310312e-01 4.928284728609467471e-04
7.692940000000000509e+03 6.145514538577959707e-01 -3.634316227806357069e-04
7.693140000000000327e+03 6.143088392606459447e-01 4.932985683447626158e-04
7.693340000000000146e+03 6.147474629927009993e-01 8.538905173063863650e-04
7.693539999999999964e+03 6.147184290461430445e-01 -5.462928762269834472e-05
7.693740000000000691e+03 6.146189313598710013e-01 1.920557696064596732e-04
7.693940000000000509e+03 6.147360103677650400e-01 6.922424803317946606e-04
7.694140000000000327e+03 6.149327760989149461e-01 6.116931623005573927e-04
7.694340000000000146e+03 6.150021452902160179e-01 7.596206332091695276e-05
7.694539999999999964e+03 6.148815944617700424e-01 3.754317262124962432e-04
7.694740000000000691e+03 6.151283412279650031e-01 1.144358358194132175e-03
7.694940000000000509e+03 6.154632299920820282e-01 8.053121158891669460e-04
7.695140000000000327e+03 6.155091577515819923e-01 5.407730279312628063e-04
7.695340000000000146e+03 6.156873585178780361e-01 3.607998073332194006e-04
7.695539999999999964e+03 6.156266871210319680e-01 2.794387190091490031e-04
7.695740000000000691e+03 6.157566972546000272e-01 4.612591425237856299e-04
7.695940000000000509e+03 6.158037191228340479e-01 5.846957577768861465e-04
7.696140000000000327e+03 6.160068414616759469e-01 8.506431718924328984e-04
7.696340000000000146e+03 6.162113854872780516e-01 7.529430870303927166e-04
7.696539999999999964e+03 6.163566395133419640e-01 3.189155101241788115e-04
7.696740000000000691e+03 6.163041065506269511e-01 7.662241186870702913e-04
7.696940000000000509e+03 6.167143039951660244e-01 7.156293435469136431e-04
7.697140000000000327e+03 6.166318034610109855e-01 3.462802306173886008e-04
7.697340000000000146e+03 6.168232333372160037e-01 7.593505871354830263e-04
7.697539999999999964e+03 6.169853967112249871e-01 8.615428982081855354e-04
7.697740000000000691e+03 6.172373556711979736e-01 7.858643252504592114e-04
7.697940000000000509e+03 6.173546941984660030e-01 5.253666795607697280e-04
7.698140000000000327e+03 6.174523589297280513e-01 7.890577976345474051e-04
7.698340000000000146e+03 6.177258831974590247e-01 9.508177957763949348e-04
7.698539999999999964e+03 6.179193592904069776e-01 8.866448991047118150e-04
7.698740000000000691e+03 6.181548735885290524e-01 8.262075571813681275e-04
7.698940000000000509e+03 6.183125523020700509e-01 1.144461417305138624e-03
7.699140000000000327e+03 6.187365701613339874e-01 1.631676246691087136e-03
7.699340000000000146e+03 6.191828289736209801e-01 1.204710626167424014e-03
7.699539999999999964e+03 6.193539526812700258e-01 7.519697784071791100e-04
7.699740000000000691e+03 6.195320505290859980e-01 6.760119067973824249e-04
7.699940000000000509e+03 6.196581839598229724e-01 1.146099627039500217e-03
7.700140000000000327e+03 6.201147174227810144e-01 1.302038586247604652e-03
7.700340000000000146e+03 6.203332143809240362e-01 9.691925953893472129e-04
7.700539999999999964e+03 6.205926012811839865e-01 8.887169491234304637e-04
7.700740000000000691e+03 6.207634320589380250e-01 1.009721174326739341e-03
7.700940000000000509e+03 6.210944904460899973e-01 9.826711345321688905e-04
7.701140000000000327e+03 6.212492993322989987e-01 1.220917016413352848e-03
7.701340000000000146e+03 6.217214721026189661e-01 1.834906158139467530e-03
