# energy mu dmude
2.303020823300000120e+04 -1.739683385971469987e+00 -3.780752658071472088e-05
2.303520823300000120e+04 -1.739758783065749936e+00 -4.004121564979501658e-05
2.304020823300000120e+04 -1.739878440279970073e+00 -3.982358682800491220e-05
2.304520823300000120e+04 -1.739949525100940031e+00 -3.665673074313439479e-05
2.305020823300000120e+04 -1.740006431670009901e+00 -3.549688417387764793e-05
2.305520823300000120e+04 -1.740054534353949967e+00 -3.700269728065146076e-05
2.306020823300000120e+04 -1.740141278320550100e+00 -3.346066221772443777e-05
2.306520823300000120e+04 -1.740119196259940049e+00 -2.898148495994539339e-05
2.307020823300000120e+04 -1.740117186189370058e+00 -2.773501680931401956e-05
2.307520823300000120e+04 -1.740070405601729986e+00 -2.455228878966948325e-05
2.308020823300000120e+04 -1.740005330386670046e+00 -2.045736537407731121e-05
2.308520823300000120e+04 -1.739877409677949904e+00 -1.667746874469717091e-05
2.309020823300000120e+04 -1.739737436537079907e+00 -1.803132360355060002e-05
2.309520823300000120e+04 -1.739636342202389940e+00 -1.117767701600438784e-05
2.310020823300000120e+04 -1.739360565370579925e+00 -9.607687711659990637e-07
2.310520823300000120e+04 -1.739057024961099929e+00 -1.462692194381231366e-06
2.311020823300000120e+04 -1.738791193645530031e+00 4.297024111491875007e-06
2.311520823300000120e+04 -1.738373525563559951e+00 1.544809838357556324e-05
2.312020823300000120e+04 -1.737886737852770036e+00 2.511733144309332512e-05
2.312520823300000120e+04 -1.737277475774630098e+00 3.650406615305003971e-05
2.313020823300000120e+04 -1.736565062102300105e+00 5.189987934165514059e-05
2.313520823300000120e+04 -1.735650734942479900e+00 6.589207085901293756e-05
2.314020823300000120e+04 -1.734661068682330054e+00 8.142689136098602812e-05
2.314520823300000120e+04 -1.733438922037610075e+00 1.070699547523855778e-04
2.315020823300000120e+04 -1.731941143400919980e+00 1.398772350231291617e-04
2.315520823300000120e+04 -1.730068926798030038e+00 1.779510276867243368e-04
2.316020823300000120e+04 -1.727816723271500043e+00 2.265327470381672662e-04
2.316520823300000120e+04 -1.724981869229420095e+00 2.954888493257413020e-04
2.317020823300000120e+04 -1.721363313778569992e+00 3.880775739090306688e-04
2.317520823300000120e+04 -1.716693831939849924e+00 5.245439662389776454e-04
2.318020823300000120e+04 -1.710371221132340080e+00 7.292917452110889848e-04
2.318520823300000120e+04 -1.701644701373580038e+00 9.813699953145108793e-04
2.318900000000000000e+04 -1.692748992207550041e+00 1.200333885010933504e-03
2.319000000000000000e+04 -1.689961060432509932e+00 1.511651491795320754e-03
2.319100000000000000e+04 -1.686638704467859906e+00 1.724256808892109943e-03
2.319200000000000000e+04 -1.683008225987020046e+00 1.901298289828457291e-03
2.319300000000000000e+04 -1.678984261433319913e+00 2.102752884709152559e-03
2.319400000000000000e+04 -1.674555426130539981e+00 2.334683679707277165e-03
2.319500000000000000e+04 -1.669612328744380036e+00 2.626476348724067836e-03
2.319600000000000000e+04 -1.664027130301610091e+00 2.823514184188182126e-03
2.319620000000000073e+04 -1.662826839222609987e+00 3.280705016381369864e-03
2.319640000000000146e+04 -1.661402934519419894e+00 2.968274494458199124e-03
2.319659999999999854e+04 -1.660450273472120042e+00 2.914401261303684043e-03
2.319679999999999927e+04 -1.659069068279690029e+00 3.805957795456092491e-03
2.319700000000000000e+04 -1.657409766372069937e+00 3.844981156225062320e-03
2.319720000000000073e+04 -1.655997631563659978e+00 3.953265251362500336e-03
2.319740000000000146e+04 -1.654252504514039934e+00 3.239030371025937785e-03
2.319759999999999854e+04 -1.653406466785269924e+00 3.366983108025001746e-03
2.319779999999999927e+04 -1.651559925379199933e+00 4.743045438322766524e-03
2.319800000000000000e+04 -1.649623231217909991e+00 4.035978677428268824e-03
2.319820000000000073e+04 -1.648337105495049970e+00 4.067320859690824741e-03
2.319840000000000146e+04 -1.646375569760859969e+00 4.968358412133931992e-03
2.319859999999999854e+04 -1.644375288595470108e+00 4.100778409565283833e-03
2.319879999999999927e+04 -1.643101390106820103e+00 4.546468694992560587e-03
2.319900000000000000e+04 -1.640747858244830049e+00 5.188706068340005924e-03
2.319920000000000073e+04 -1.638964927347539957e+00 4.688885965086827569e-03
2.319940000000000146e+04 -1.637007549059920075e+00 5.377948141213613302e-03
2.319959999999999854e+04 -1.634678472775040081e+00 5.616493884197153175e-03
2.319979999999999927e+04 -1.632532024963970096e+00 4.987343055760687718e-03
2.320000000000000000e+04 -1.630701608792719970e+00 6.045788126411677857e-03
2.320020000000000073e+04 -1.627716245549309937e+00 6.330448362387657013e-03
2.320040000000000146e+04 -1.625660209861699901e+00 5.940427562829119976e-03
2.320059999999999854e+04 -1.622983974108040073e+00 6.453107623689956045e-03
2.320079999999999927e+04 -1.620521592142450062e+00 7.008952729921446786e-03
2.320100000000000000e+04 -1.617404797827380003e+00 7.938108197716025119e-03
2.320120000000000073e+04 -1.614205974375509944e+00 8.456444701293631266e-03
2.320140000000000146e+04 -1.610678350529409997e+00 7.943185352987930728e-03
2.320159999999999854e+04 -1.607886332494359971e+00 7.020292304685510354e-03
