# energy mu dmude
2.191984049799999775e+04 4.582002756666059828e-01 -2.448527174826388932e-05
2.192484049799999775e+04 4.580825836733110057e-01 -2.669002108362027945e-05
2.192984049799999775e+04 4.579392095774060256e-01 -2.698819893902498903e-05
2.193484049799999775e+04 4.578180442485459967e-01 -2.837151639512465576e-05
2.193984049799999775e+04 4.576585565290740010e-01 -2.636820471446857795e-05
2.194484049799999775e+04 4.575607268489960133e-01 -2.185246545241741617e-05
2.194984049799999775e+04 4.574538408821259838e-01 -2.401769684568330987e-05
2.195484049799999775e+04 4.573307894256199990e-01 -2.423451052916994974e-05
2.195984049799999775e+04 4.572213778966929820e-01 -2.109833155389545325e-05
2.196484049799999775e+04 4.571348583347449868e-01 -1.442646470419098448e-05
2.196984049799999775e+04 4.571031642888380153e-01 -8.739275013351703548e-06
2.197484049799999775e+04 4.570828921623060204e-01 -1.216069297149748310e-05
2.197984049799999775e+04 4.570113436052020139e-01 -1.324011326725645324e-05
2.198484049799999775e+04 4.569784978121990138e-01 -7.836465273417935352e-06
2.198984049799999775e+04 4.569698938447679937e-01 -9.329911889251587268e-07
2.199484049799999775e+04 4.570174634200609987e-01 2.822850821834179979e-06
2.199984049799999775e+04 4.570526095145350243e-01 6.615494161550238016e-07
2.200484049799999775e+04 4.570750030920029960e-01 6.669443286714605003e-06
2.200984049799999775e+04 4.571801323561640040e-01 1.676152339882458394e-05
2.201484049799999775e+04 4.573200838949070257e-01 2.604997169169344422e-05
2.201984049799999775e+04 4.575334099859449943e-01 3.066673275950951717e-05
2.202484049799999775e+04 4.577271400334589901e-01 3.687549754645920089e-05
2.202984049799999775e+04 4.580127891463400269e-01 4.597558825377729287e-05
2.203484049799999775e+04 4.583125219305629883e-01 5.973219991564761115e-05
2.203984049799999775e+04 4.587584154334070075e-01 7.752047292198435940e-05
2.204484049799999775e+04 4.592653555610120009e-01 9.564101239087376941e-05
2.204984049799999775e+04 4.599223268251799723e-01 1.187445832352207665e-04
2.205484049799999775e+04 4.606983897358449820e-01 1.426491139018906955e-04
2.205984049799999775e+04 4.616338137926179752e-01 1.769488115142137520e-04
2.206484049799999775e+04 4.628094179751380266e-01 2.271992083345084220e-04
2.206984049799999775e+04 4.643301856020999874e-01 2.885037528173198880e-04
2.207484049799999775e+04 4.662198979948439792e-01 3.695855147969498260e-04
2.207984049799999775e+04 4.686851494674579843e-01 4.955804104975623965e-04
2.208484049799999775e+04 4.720425179732219978e-01 6.832454259163174819e-04
2.208984049799999775e+04 4.766937921854699778e-01 9.875152667434597929e-04
2.209559999999999854e+04 4.844729071487189898e-01 1.202279010704559959e-03
2.209659999999999854e+04 4.861940182637979890e-01 1.592735980108665739e-03
2.209759999999999854e+04 4.881934824347580193e-01 1.823930697253912242e-03
2.209859999999999854e+04 4.904532095596830232e-01 2.017040682592414341e-03
2.209959999999999854e+04 4.929025634644950138e-01 2.283350272091711972e-03
2.210059999999999854e+04 4.957827139721470155e-01 2.577090731281834329e-03
2.210159999999999854e+04 4.989163971558149835e-01 2.886573635111123332e-03
2.210259999999999854e+04 5.025175522298099828e-01 3.141415818307648905e-03
2.210279999999999927e+04 5.033135247202560336e-01 3.376657697167944391e-03
2.210300000000000000e+04 5.040928703603330119e-01 3.516687820067023081e-03
2.210319999999999709e+04 5.049540886894110514e-01 3.647189039991451456e-03
2.210339999999999782e+04 5.057942402572559448e-01 3.818991570140197953e-03
2.210359999999999854e+04 5.067355085065320397e-01 3.614905606033698773e-03
2.210379999999999927e+04 5.074805679641329892e-01 3.791505580143705780e-03
2.210400000000000000e+04 5.085041214615919625e-01 4.181717923569327512e-03
2.210419999999999709e+04 5.094309970246679864e-01 3.914457219591171294e-03
2.210439999999999782e+04 5.103300226819219576e-01 4.199547143423966802e-03
2.210459999999999854e+04 5.113897334577900411e-01 4.554128887787541567e-03
2.210479999999999927e+04 5.124539734475099806e-01 4.704479764924714841e-03
2.210500000000000000e+04 5.135837389292300381e-01 4.966875734236643643e-03
2.210519999999999709e+04 5.147702400776059672e-01 5.200096897406983332e-03
2.210539999999999782e+04 5.160086729664959959e-01 5.486538180658844660e-03
2.210559999999999854e+04 5.173286389820379583e-01 5.472327855744116114e-03
2.210579999999999927e+04 5.185604506915180156e-01 5.389819743442270973e-03
2.210600000000000000e+04 5.198419727574949967e-01 5.412918535382476269e-03
2.210619999999999709e+04 5.210845471515850313e-01 5.853163241140630670e-03
2.210639999999999782e+04 5.225711974745550492e-01 6.245791805078121893e-03
2.210659999999999854e+04 5.239967137914539608e-01 6.343330745066736928e-03
2.210679999999999927e+04 5.255288115496510315e-01 6.513206321823382730e-03
2.210700000000000000e+04 5.270334799392729641e-01 7.147177643848702869e-03
